category,year,area
active_lup_areas,2000,890487.27
private_lands_clearing,2000,164897.63999999998
private_lands_protected,2000,208601.91
public_protected_areas,2000,2777282.9099999997
active_lup_areas,2001,997259.49
private_lands_clearing,2001,202268.25
private_lands_protected,2001,254201.58
public_protected_areas,2001,2772921.69
active_lup_areas,2002,1151726.8499999999
private_lands_clearing,2002,238572.36
private_lands_protected,2002,308905.38
public_protected_areas,2002,2769913.71
active_lup_areas,2003,1559934.3599999999
private_lands_clearing,2003,339998.85
private_lands_protected,2003,432170.82
public_protected_areas,2003,2762544.33
active_lup_areas,2004,2072578.77
private_lands_clearing,2004,441315.63
private_lands_protected,2004,577277.73
public_protected_areas,2004,2759184.9899999998
active_lup_areas,2005,2476339.83
private_lands_clearing,2005,525858.84
private_lands_protected,2005,720310.5
public_protected_areas,2005,2754463.9499999997
active_lup_areas,2006,3275685.27
private_lands_clearing,2006,713052.72
private_lands_protected,2006,965659.0499999999
public_protected_areas,2006,2752104.69
active_lup_areas,2007,3969212.13
private_lands_clearing,2007,691306.9199999999
private_lands_protected,2007,990777.51
public_protected_areas,2007,2739379.32
active_lup_areas,2008,4888753.38
private_lands_clearing,2008,911421.1799999999
private_lands_protected,2008,1252123.29
public_protected_areas,2008,2725799.58
active_lup_areas,2009,5120295.84
private_lands_clearing,2009,923816.4299999999
private_lands_protected,2009,1352087.55
public_protected_areas,2009,2715503.31
active_lup_areas,2010,5310100.62
private_lands_clearing,2010,990316.1699999999
private_lands_protected,2010,1525435.29
public_protected_areas,2010,2697116.4899999998
active_lup_areas,2011,5430999.51
private_lands_clearing,2011,1048596.93
private_lands_protected,2011,1707256.71
public_protected_areas,2011,2680974.1799999997
active_lup_areas,2012,5480553.78
private_lands_clearing,2012,1042925.6699999999
private_lands_protected,2012,1830612.0599999998
public_protected_areas,2012,2659851.7199999997
active_lup_areas,2013,6011544.96
private_lands_clearing,2013,1278960.66
private_lands_protected,2013,2131825.23
public_protected_areas,2013,2653428.6
active_lup_areas,2014,6518959.2
private_lands_clearing,2014,1470003.8399999999
private_lands_protected,2014,2446687.53
public_protected_areas,2014,2642481.54
active_lup_areas,2015,6697308.87
private_lands_clearing,2015,1531207.26
private_lands_protected,2015,2652256.44
public_protected_areas,2015,2634613.4699999997
active_lup_areas,2016,6664107.51
private_lands_clearing,2016,1496850.39
private_lands_protected,2016,2706601.32
public_protected_areas,2016,2626079.31
active_lup_areas,2017,6651948.239999999
private_lands_clearing,2017,1448505.99
private_lands_protected,2017,2757137.2199999997
public_protected_areas,2017,2617601.31
active_lup_areas,2018,6728909.31
private_lands_clearing,2018,1335018.24
private_lands_protected,2018,2863346.2199999997
public_protected_areas,2018,2611399.86
active_lup_areas,2019,6766473.239999999
private_lands_clearing,2019,1304143.29
private_lands_protected,2019,2899498.32
public_protected_areas,2019,2578443.9299999997
active_lup_areas,2020,6757164.989999999
private_lands_clearing,2020,1253497.95
private_lands_protected,2020,2935435.4099999997
public_protected_areas,2020,2575600.11
active_lup_areas,2021,6712116.569999999
private_lands_clearing,2021,1179664.74
private_lands_protected,2021,2811237.84
public_protected_areas,2021,2571730.02
active_lup_areas,2022,6679564.29
private_lands_clearing,2022,1151279.82
private_lands_protected,2022,2832851.52
public_protected_areas,2022,2566068.75
